subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text
44121904,T1,"[['15-3-1826','15-3-1826','15-3-1826']]",3,3.0,15-3-1826
44121904,T2,"[['3-5-1826','3-5-1826','3-5-1826']]",3,3.0,3-5-1826
44121904,T3,"[['3-3-1826','3-3-1826','3-3-1826']]",3,3.0,3-3-1826
44121904,T4,"[['3-4-1826','3-4-1826','3-4-1826']]",3,3.0,3-4-1826
44121904,T5,"[['13-3-1826','13-3-1826','13-3-1826']]",3,3.0,13-3-1826
44121904,T7,"[['27-2-1826','27-2-1826','27-2-1826']]",3,3.0,27-2-1826
44121904,T8,"[['27-3-1826','27-3-1826','27-3-1826']]",3,3.0,27-3-1826
44121904,T9,"[['1-3-1826','1-3-1826','1-3-1826']]",3,3.0,1-3-1826
44121904,T10,"[['4-3-1826','4-3-1826','4-3-1826']]",3,3.0,4-3-1826
44121904,T11,"[['1-4-1826','1-4-1826','1-4-1826']]",3,3.0,1-4-1826
44121904,T13,"[['11-5-1826','11-5-1826','11-5-1826']]",3,3.0,11-5-1826
44121904,T14,"[['24-2-1826','24-2-1826','24-2-1826']]",3,3.0,24-2-1826
44121904,T15,"[['27-3-1826','27-3-1826','27-3-1826']]",3,3.0,27-3-1826
44121904,T16,"[['10-3-1826','10-3-1826','10-3-1826']]",3,3.0,10-3-1826
44121904,T17,"[['10-3-1826','10-3-1826','10-3-1826']]",3,3.0,10-3-1826
44121904,T19,"[['26-4-1826','26-4-1826','26-4-1826']]",3,3.0,26-4-1826
44121904,T20,"[['13-3-1826','13-3-1826','13-3-1826']]",3,3.0,13-3-1826
44121904,T21,"[['27-2-1826','27-2-1826','27-2-1826']]",3,3.0,27-2-1826
44121904,T22,"[['23-3-1826','23-3-1826','23-3-1826']]",3,3.0,23-3-1826
44121904,T23,"[['11-4-1826','11-4-1826','11-4-1826']]",3,3.0,11-4-1826
44121904,T25,"[['30-4-1826','30-4-1826','30-4-1826']]",3,3.0,30-4-1826
44121904,T26,"[['28-2-1826','28-2-1826','28-2-1826']]",3,3.0,28-2-1826
44121904,T27,"[['7-3-1826','7-3-1826','7-3-1826']]",3,3.0,7-3-1826
44121904,T28,"[['2-3-1826','2-3-1826','2-3-1826']]",3,3.0,2-3-1826
44121904,T29,"[['13-3-1826','13-3-1826','13-3-1826']]",3,3.0,13-3-1826
44121906,T1,[['13-3-1826']],1,1.0,13-3-1826
44121906,T2,[['18-3-1826']],1,1.0,18-3-1826
44121906,T3,[['1-3-1826']],1,1.0,1-3-1826
44121906,T4,[['28-2-1826']],1,1.0,28-2-1826
44121906,T5,[['13-3-1826']],1,1.0,13-3-1826
44121906,T7,[['9-3-1826']],1,1.0,9-3-1826
44121906,T8,[['27-3-1826']],1,1.0,27-3-1826
44121906,T9,[['1-3-1826']],1,1.0,1-3-1826
44121906,T10,[['7-3-1826']],1,1.0,7-3-1826
44121906,T11,[['20-3-1826']],1,1.0,20-3-1826
44121906,T13,[['13-3-1826']],1,1.0,13-3-1826
44121906,T14,[['12-4-1826']],1,1.0,12-4-1826
44121906,T15,[['6-4-1826']],1,1.0,6-4-1826
44121906,T16,[['13-7-1826']],1,1.0,13-7-1826
44121906,T17,[['10-3-1826']],1,1.0,10-3-1826
44121906,T19,[['6-3-1826']],1,1.0,6-3-1826
44121906,T20,[['8-3-1826']],1,1.0,8-3-1826
44121906,T21,[['31-3-1826']],1,1.0,31-3-1826
44121906,T22,[['5-3-1826']],1,1.0,5-3-1826
44121906,T23,[['6-3-1826']],1,1.0,6-3-1826
44121906,T25,[['9-3-1826']],1,1.0,9-3-1826
44121906,T26,[['31-4-1826']],1,1.0,31-4-1826
44121906,T27,[['20-3-1826']],1,1.0,20-3-1826
44121906,T28,[['2-5-1826']],1,1.0,2-5-1826
44121906,T29,[['8-3-1826']],1,1.0,8-3-1826
44121907,T1,[['12-4-1826']],1,1.0,12-4-1826
