subject_id,task,admission number,date of entry,name,quality,age,place of birth,port sailed out of,years at sea,last services,under what circumstances admitted (or nature of complaint),date of discharge,how disposed of,number of days victualled,complete
44121906,1,10.0,4.0,6.0,3.0,7.0,3.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,True
44121906,2,10.0,4.0,6.0,3.0,7.0,3.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,True
44121906,3,10.0,4.0,6.0,3.0,7.0,3.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,True
44121906,4,10.0,4.0,6.0,3.0,7.0,3.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,True
44121906,5,10.0,4.0,6.0,3.0,7.0,3.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,True
44121906,7,10.0,4.0,6.0,3.0,7.0,3.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,True
44121906,8,10.0,4.0,6.0,3.0,7.0,3.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,True
44121906,9,10.0,4.0,6.0,3.0,7.0,3.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,True
44121906,10,10.0,4.0,6.0,3.0,7.0,3.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,True
44121906,11,10.0,4.0,6.0,3.0,7.0,3.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,True
44121906,13,10.0,4.0,6.0,3.0,7.0,3.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,True
44121906,14,10.0,4.0,6.0,3.0,7.0,3.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,True
44121906,15,10.0,4.0,6.0,3.0,7.0,3.0,,3.0,3.0,6.0,4.0,3.0,3.0,True
44121906,16,10.0,4.0,6.0,3.0,7.0,3.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,True
44121906,17,10.0,4.0,6.0,3.0,7.0,3.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,True
44121906,19,10.0,4.0,6.0,3.0,7.0,3.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,True
44121906,20,10.0,4.0,6.0,3.0,7.0,3.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,True
44121906,21,10.0,4.0,6.0,3.0,7.0,3.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,True
44121906,22,10.0,4.0,6.0,3.0,7.0,3.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,True
44121906,23,10.0,4.0,6.0,3.0,7.0,3.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,True
44121906,25,10.0,4.0,6.0,3.0,7.0,3.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,True
44121906,26,10.0,4.0,6.0,3.0,7.0,3.0,3.0,3.0,3.0,6.0,3.0,3.0,3.0,True
44121906,27,10.0,4.0,6.0,3.0,7.0,3.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,True
